combination,symbols,kr_count,us_count,annual_return,annual_volatility,sharpe_zero_rate,max_drawdown,average_pair_correlation
292190|275290|ITOT|IWM,"292190,275290,ITOT,IWM",2,2,0.18576227795850636,0.16255695315826882,1.1427519669222908,-0.19680293966251416,0.45867922912260317
069500|292190|ITOT|IJS,"069500,292190,ITOT,IJS",2,2,0.18800542393903558,0.1625623421435772,1.1565127658716108,-0.19860889822320005,0.4373803552392115
292190|275290|IJS|IWF,"292190,275290,IJS,IWF",2,2,0.19011642006027063,0.16258885069992007,1.1693078537787098,-0.19635704828837863,0.38899249230063276
226490|229200|226980|IWD,"226490,229200,226980,IWD",3,1,0.12419186432031432,0.1626207305089936,0.7636902375951755,-0.24341359436570897,0.3828191606499021
292190|275290|ITOT|IWF,"292190,275290,ITOT,IWF",2,2,0.1962730726712587,0.1626237702507493,1.2069150307401286,-0.21022270454968073,0.47406802238747764
069500|IWM|IJS|IWF,"069500,IWM,IJS,IWF",1,3,0.16279169086116504,0.16271625664236788,1.0004635936221355,-0.19877637097676648,0.48497739515201727
069500|226490|IVV|IWF,"069500,226490,IVV,IWF",2,2,0.19104479660498513,0.1629996131489705,1.1720567485665334,-0.20612842028756806,0.49787806950482144
069500|275290|IVV|IWM,"069500,275290,IVV,IWM",2,2,0.19147616537914064,0.1630511625056497,1.1743318013602388,-0.19657769584834406,0.4465961640513411
069500|226490|IJS|IWF,"069500,226490,IJS,IWF",2,2,0.18262323618654017,0.16315399671117858,1.1193304477231212,-0.19683744884126364,0.4095431779892713
069500|226490|ITOT|IWM,"069500,226490,ITOT,IWM",2,2,0.17826909408477587,0.16322518186261334,1.0921666133282364,-0.19729283934275232,0.48207171584291175
069500|226490|ITOT|IWF,"069500,226490,ITOT,IWF",2,2,0.18877988879752822,0.1634879886830458,1.1547018855526803,-0.20941764375919336,0.4994754214242565
069500|275290|IVV|IWF,"069500,275290,IVV,IWF",2,2,0.201986960091893,0.1637002266208837,1.2338832038374523,-0.2037620101161738,0.4704815441929599
069500|229200|226980|IWD,"069500,229200,226980,IWD",3,1,0.13443628528156226,0.1637721018122546,0.8208741525200526,-0.24415108060666535,0.35361086451568363
226490|275290|IWM|IWF,"226490,275290,IWM,IWF",2,2,0.18038009020601092,0.16381551021402185,1.1011172871869566,-0.20709998513591532,0.4375738835624214
229200|226980|IWM|IJS,"229200,226980,IWM,IJS",2,2,0.09874813973894968,0.16385687852268874,0.6026487299724579,-0.21970017579243106,0.39629808433101826
069500|229200|IWM|IWF,"069500,229200,IWM,IWF",2,2,0.13576525801433087,0.16397772459647003,0.8279493958611346,-0.2538189641948756,0.36118161410565025
IVV|ITOT|IJS|IWF,"IVV,ITOT,IJS,IWF",0,4,0.15317571461635326,0.16403030034226393,0.9338257279096508,-0.1796909876145527,0.8234922281371101
292190|229200|226980|IWD,"292190,229200,226980,IWD",3,1,0.13098730566838487,0.1641247351930542,0.7980960670815954,-0.24595635314383124,0.3674012320299558
069500|275290|IJS|IWF,"069500,275290,IJS,IWF",2,2,0.19356539967344802,0.16413432257291896,1.179310924364731,-0.19626221027351165,0.3871963866500218
069500|275290|ITOT|IWM,"069500,275290,ITOT,IWM",2,2,0.18921125757168372,0.1641556592328897,1.1526331681519877,-0.19672013516598763,0.4570234013796326
069500|275290|ITOT|IWF,"069500,275290,ITOT,IWF",2,2,0.19972205228443607,0.1641712878985263,1.2165467837950055,-0.20704373530810205,0.4718960333872873
069500|229200|IWM|IJS,"069500,229200,IWM,IJS",2,2,0.12819535180776764,0.16430348641255535,0.7802351283397448,-0.21960409423074412,0.3615391328252628
292190|229200|IWM|IWF,"292190,229200,IWM,IWF",2,2,0.1323162784011535,0.16435047275778789,0.8050860833005032,-0.2573094889441706,0.3743884896332414
226490|226980|275290|IWD,"226490,226980,275290,IWD",3,1,0.1790511174732423,0.1644089240439774,1.0890596025392654,-0.21940587117731092,0.4493574943430961
292190|229200|IWM|IJS,"292190,229200,IWM,IJS",2,2,0.12474637219459028,0.16461456761686868,0.7578088257956038,-0.2224544397012309,0.3736774026302756
229200|IWM|IJS|IWF,"229200,IWM,IJS,IWF",1,3,0.10863018023389695,0.16466246108171134,0.6597142999095028,-0.22455510433873782,0.4721506319777424
IVV|IWM|IJS|IWD,"IVV,IWM,IJS,IWD",0,4,0.14212044654860237,0.16487196568545073,0.862004925808584,-0.17273621583752774,0.8440266864487632
069500|292190|IVV|IWM,"069500,292190,IVV,IWM",2,2,0.18732944324030332,0.16535457276781587,1.1328954506951776,-0.20331622052912712,0.46935305341207195
